10
13820 10173 77 69
12553 9523 52 51
7392 3966 48 32
6158 4175 35 37
6242 5683 30 37
5342 2790 29 23
4576 3358 24 25
4257 2476 23 14
4146 3155 22 16
4001 1331 20 6
